ID,VENUE_NUMBER,SERVICE_ID,TYPE,PHRASE,WEIGHT,FOR_DAY,FULL_TEXT
25442158,171688,61380,CRG,"room service",0,"2022-07-07 00:24:10","Room service"
25442157,171649,61378,CRG,laundry,0,"2022-07-07 00:03:12","Do you have quarters I can buy for the laundry room?"
25442156,171649,61377,CRG,laundry,0,"2022-07-07 00:01:46","Hi- do you have ice anywhere? And if I want to do laundry, can you break some dollars for quarters?"
25442155,171480,61376,CRG,reservations,0,"2022-07-06 23:26:42","Is it possible to change the phone number associated with this reservation?"
25442154,171480,61376,CRG,phone,0,"2022-07-06 23:26:42","Is it possible to change the phone number associated with this reservation?"
25442153,171480,61375,CRG,reservations,0,"2022-07-06 23:26:41","Is it possible to change the phone number associated with this reservation?"
25442152,171480,61375,CRG,phone,0,"2022-07-06 23:26:41","Is it possible to change the phone number associated with this reservation?"
25442151,171672,61369,CRG,"hours of operation",0,"2022-07-06 22:59:10","When is laundry open?"
25442150,171672,61369,CRG,laundry,0,"2022-07-06 22:59:10","When is laundry open?"
25442149,171649,61362,CRG,"late checkout",0,"2022-07-06 22:40:51","Can we get a late check out Friday please."
25442148,171634,61359,CRG,Check-in,0,"2022-07-06 22:24:55","Hago el check inn ahi mismo"
25442147,171649,61355,CRG,wifi,0,"2022-07-06 22:17:38","What's the WiFi PW?"
25442146,171613,61343,CRG,"check out",0,"2022-07-06 21:27:01","What time is check-out?"
25442145,171613,61343,CRG,"hours of operation",0,"2022-07-06 21:27:01","What time is check-out?"
25442144,521,61341,CRG,"bottle service",0,"2022-07-06 21:16:33","Bottle prices"
25442143,521,61340,CRG,"reserve a table",0,"2022-07-06 21:13:05","Cost of table"
25442142,171532,61336,CRG,"early checkin",0,"2022-07-06 21:03:59","Do you have early check in"
25442141,171532,61335,CRG,"shuttle service",0,"2022-07-06 21:01:27","Trying to book a shuttle. Please assist"
25442140,171649,61329,CRG,"hours of operation",0,"2022-07-06 20:38:39","What time does pool close"
25442139,171649,61329,CRG,"hours of operation",0,"2022-07-06 20:38:39","What time does pool close"
25442138,171649,61329,CRG,pool,0,"2022-07-06 20:38:39","What time does pool close"
25442137,171691,61325,CRG,"late checkout",0,"2022-07-06 20:13:46","Gracias, me puedes dar informacion de late checkout porfavor"
25442136,171660,61322,CRG,"cancel reservation",0,"2022-07-06 20:05:27","I cancelled the reservation."
25442135,171660,61321,CRG,"cancel reservation",0,"2022-07-06 20:05:15","I cancelled the reservation."
25442134,171660,61320,CRG,"cancel reservation",0,"2022-07-06 20:04:52","I cancelled the reservation."
25442133,171691,61317,CRG,spa,0,"2022-07-06 20:02:55","Hola, que tal tu día? 😊
Estás escribiendo al whatsapp de la Dra. Claudia Sánchez Vidaurreta.

Vida Padma spa / Vida in motion 💪🏽.

En qué puedo ayudarte? 🤔 

En un momento me comunico contigo 😉"
25442132,171691,61316,CRG,spa,0,"2022-07-06 20:02:54","Hola, que tal tu día? 😊
Estás escribiendo al whatsapp de la Dra. Claudia Sánchez Vidaurreta.

Vida Padma spa / Vida in motion 💪🏽.

En qué puedo ayudarte? 🤔 

En un momento me comunico contigo 😉"
25442131,521,61301,CRG,"reserve a table",0,"2022-07-06 18:44:31","What is the price for a table"
25442130,171559,61299,CRG,gym,0,"2022-07-06 18:28:33","Fitness center"
25442129,171559,61298,CRG,amenities,0,"2022-07-06 18:28:07",Amenities
25442128,171758,61285,CRG,toothbrush,0,"2022-07-06 16:32:18","I want a toothbrush"
25442127,171637,61282,CRG,program,0,"2022-07-06 16:23:34","Can you tell me a little bit about special events or special things that you can do for a couples"
25442126,171532,61280,CRG,"late checkout",0,"2022-07-06 15:58:46","Late checkout"
25442125,171489,61271,CRG,toothbrush,0,"2022-07-06 14:55:27","Hi. I need a toothe brush"
25442124,171644,61270,CRG,"check out",0,"2022-07-06 14:40:54","what time is checkout?"
25442123,171644,61270,CRG,"hours of operation",0,"2022-07-06 14:40:54","what time is checkout?"
25442122,171622,61264,CRG,"check out",0,"2022-07-06 12:32:27","I went to check out, but the lobby is not open yet. Will this serve as notification that we're out of room 107."
25442121,171622,61264,CRG,"hours of operation",0,"2022-07-06 12:32:27","I went to check out, but the lobby is not open yet. Will this serve as notification that we're out of room 107."
25442120,171649,61262,CRG,breakfast,0,"2022-07-06 09:28:45","What time is breakfast"
25442119,171649,61262,CRG,"hours of operation",0,"2022-07-06 09:28:45","What time is breakfast"
25442118,171758,61259,CRG,"not clean",0,"2022-07-06 06:29:30","housekeeping did not clean my room properly"
25442117,171758,61259,CRG,housekeeping,0,"2022-07-06 06:29:30","housekeeping did not clean my room properly"
25442116,171747,61257,CRG,"not clean",0,"2022-07-06 06:24:06","housekeeping did not clean my room properly"
25442115,171747,61257,CRG,housekeeping,0,"2022-07-06 06:24:06","housekeeping did not clean my room properly"
25442114,171747,61256,CRG,reservations,0,"2022-07-06 06:22:42","i need to reserve the another room"
25442113,171747,61255,CRG,reservations,0,"2022-07-06 06:22:31","i need to reserve the another room"
25442112,171747,61254,CRG,charger,0,"2022-07-06 06:19:52","Availability of seraval phone chargers"
25442111,171747,61254,CRG,phone,0,"2022-07-06 06:19:52","Availability of seraval phone chargers"
25442110,171747,61252,CRG,"not clean",0,"2022-07-06 06:18:34","Housekeping did not clean my room"
25442109,171747,61248,CRG,reservations,0,"2022-07-06 06:09:21","i need to reserve the another room"
25442108,171747,61246,CRG,reservations,0,"2022-07-06 06:07:44","I need to reserve extra 1 room"
25442107,171747,61245,CRG,reservations,0,"2022-07-06 06:07:21","I need to reserve the another room"
25442106,171694,61244,CRG,"safety deposit box",0,"2022-07-06 06:06:23","Do you have safe"
25442105,171769,61243,CRG,reservations,0,"2022-07-06 06:06:08","I need to reserve Extra 1 room"
25442104,171694,61242,CRG,"safety deposit box",0,"2022-07-06 06:04:09","Do you have safe"
25442103,171769,61240,CRG,"safety deposit box",0,"2022-07-06 06:01:02","Do you have safe"
25442102,171769,61239,CRG,"safety deposit box",0,"2022-07-06 06:00:54","Do you have safe locker"
25442101,521,61238,CRG,"cancel reservation",0,"2022-07-06 05:54:46","When is the latest you could cancel a table reservation"
25442100,521,61238,CRG,"reserve a table",0,"2022-07-06 05:54:46","When is the latest you could cancel a table reservation"
25442099,171694,61236,CRG,"checkin time",0,"2022-07-06 05:40:29","Checkin time"
25442098,521,61228,CRG,"bottle service",0,"2022-07-06 02:57:40","Bottle service"
25442097,521,61227,CRG,"reserve a table",0,"2022-07-06 02:56:27",Table
25442096,171688,61226,CRG,"room service",0,"2022-07-06 02:16:25","room service"
25442095,171532,61224,CRG,"check out",0,"2022-07-06 01:48:08","Check out"
25442094,521,61221,CRG,"reserve a table",0,"2022-07-06 01:43:15","How much is vip table"
25442093,171649,61215,CRG,breakfast,0,"2022-07-06 00:16:39","What time is breakfast?"
25442092,171649,61215,CRG,"hours of operation",0,"2022-07-06 00:16:39","What time is breakfast?"
25442091,171532,61213,CRG,reservations,0,"2022-07-05 23:45:15","Do i need to make reservations for dinner?"
25442090,171637,61204,CRG,"shuttle service",0,"2022-07-05 23:03:18","Can we get a shuttle from airport"
25442089,171634,61200,CRG,reservations,0,"2022-07-05 22:08:34","Is this for my reservation on Thursday night?"
25442088,171483,61195,CRG,pool,0,"2022-07-05 21:54:26","I love the pool parties!"
25442087,171690,61193,CRG,"check out",0,"2022-07-05 21:16:56","A q hra es el checkout?"
25442086,171690,61192,CRG,"room service",0,"2022-07-05 21:15:20","Menu de room service?"
25442085,171649,61186,CRG,pool,0,"2022-07-05 21:02:27","Is there an outdoor pool at hotel and where is ot located"
25442084,171649,61186,CRG,location,0,"2022-07-05 21:02:27","Is there an outdoor pool at hotel and where is ot located"
25442083,171613,61182,CRG,wifi,0,"2022-07-05 20:30:42","What about Wifi password"
25442082,171667,61175,CRG,phone,0,"2022-07-05 19:58:07","Also the phone did not work when we tried to call for fresh towels."
25442081,171687,61170,CRG,wifi,0,"2022-07-05 19:44:24","Hello! That Wi-Fi password didn't work"
25442080,171687,61170,CRG,wifi,0,"2022-07-05 19:44:24","Hello! That Wi-Fi password didn't work"
25442079,171649,61167,CRG,wifi,0,"2022-07-05 18:12:25",Wifi?
25442078,171532,61161,CRG,Check-in,0,"2022-07-05 16:31:52","Necesito cambiar mi reservación de hoy a mañana 
Checkin mañana"
25442077,521,61159,CRG,"reserve a table",0,"2022-07-05 15:58:53","how much is a table?"
25442076,171694,61156,CRG,hospital,0,"2022-07-05 15:32:33","nearby hospital"
25442075,171694,61156,CRG,"near by",0,"2022-07-05 15:32:33","nearby hospital"
25442074,171694,61155,CRG,"coffee shop",0,"2022-07-05 15:32:19","nearby starbucks"
25442073,171694,61155,CRG,"near by",0,"2022-07-05 15:32:19","nearby starbucks"
25442072,171694,61153,CRG,"channel lineup",0,"2022-07-05 15:31:49","premium channels"
25442071,171694,61152,CRG,"pet policy",0,"2022-07-05 15:31:21","pet policy"
25442070,171694,61149,CRG,laundry,0,"2022-07-05 15:30:35","I need an laundry survice"
25442069,171694,61148,CRG,location,0,"2022-07-05 15:30:12","Microwave location"
25442068,171694,61148,CRG,microwave,0,"2022-07-05 15:30:12","Microwave location"
25442067,171694,61147,CRG,"shuttle service",0,"2022-07-05 15:29:57","Airport shuttle"
25442066,171694,61146,CRG,parking,0,"2022-07-05 15:29:40","is parking available"
25442065,171694,61145,CRG,"charging station",0,"2022-07-05 15:29:24","is charging station available"
25442064,171694,61143,CRG,"not working",0,"2022-07-05 15:27:45","Ac is not working in my room"
25442063,171694,61142,CRG,"not clean",0,"2022-07-05 15:27:10","The plates in my room are not clean"
25442062,171769,61140,CRG,"safety deposit box",0,"2022-07-05 15:26:34","Do you have SAfe lock"
25442061,171694,61139,CRG,"room service",0,"2022-07-05 15:26:28","Room service"
25442060,171694,61137,CRG,"check out",0,"2022-07-05 15:26:14","I want to store my luggage after checkout."
