PHRASE,FULL_TEXT
wifi,What's the WiFi log in and password
wifi,What's the WiFi log in and password
hospital,Nearest hospital
hospital,Nearest hospital
housekeeping,Why didn't housekeeping clean my room
checkout time,checkout time
checkin time,checkin time
checkout time,Can I extend my checkout time
early checkin,can i do early checkin
late checkout,can i do late checkout
check-in,checkin?
check out,checkout?
express checkin,express checkin
check out,express checkout
amenities,What amenities does the hotel offer?
amenities,What kind of amenities do you have?
amenities,Amenities
wifi,What is the WiFi password
wifi,WIFI
wifi,how to login to WIFI
wifi,WIFI Passcode
wifi,IS there WIFI
wifi,Free WIFI
wifi,How to connect to your wifi
complimentary breakfast,Do u have Complimentary breakfast
breakfast,Breakfast timings
breakfast,What is for Breakfast
complimentary breakfast,Is Breakfast free
hours of operation,Breakfast open time
hours of operation,Breakfast open time
breakfast,Breakfast open time
hours of operation,Breakfast close time
hours of operation,Breakfast close time
breakfast,Breakfast close time
complimentary breakfast,Does this hotel have a complimentary breakfast
order food,Breakfast menu
location,where is breakfast location
location,where is breakfast location
breakfast,where is breakfast location
breakfast,what do u serve in breakfast
breakfast,Continental Breakfast
breakfast,Do I need to pay extra for breakfast
location,location for breakfast
breakfast,location for breakfast
breakfast,When do you serve Breakfast
business center,When does the business center open?
hours of operation,When does the business center open?
business center,When does the business center close
hours of operation,When does the business center close
meeting room,Do you have meeting or boardroom
printer,do u have printer
fax,fax machine
printer,Do you have printer
fax,fax services
fax,how much does fax cost?
fax,fax charges
pool,do u have pool
pool,pool
location,where is the pool
pool,where is the pool
location,where is pool located
pool,where is pool located
location,pool location
pool,pool location
pool,what is closing time of pool?
hours of operation,what is closing time of pool?
pool,swimming pool timings
pool,pool timings
pool,what is the open time for pool?
hours of operation,what is the open time for pool?
hours of operation,what is the open time for pool?
location,where is the pool
pool,where is the pool
pool,what is the pool temperature
pool,DO you have indoor pool
jaccuzi,Jacuzzi temperature
jaccuzi,do u have jacuzzi
parking,parking
free parking,free parking
valet parking,do you have valet parking
shuttle service,Do you have shuttle service
